processed_row_index,normalized_disease,source_file,source_csv_row_number
0,panic disorder,Diseases_and_Symptoms_dataset.csv,2
1,panic disorder,Diseases_and_Symptoms_dataset.csv,3
2,panic disorder,Diseases_and_Symptoms_dataset.csv,4
3,panic disorder,Diseases_and_Symptoms_dataset.csv,5
4,panic disorder,Diseases_and_Symptoms_dataset.csv,6
5,panic disorder,Diseases_and_Symptoms_dataset.csv,7
6,panic disorder,Diseases_and_Symptoms_dataset.csv,8
7,panic disorder,Diseases_and_Symptoms_dataset.csv,9
8,panic disorder,Diseases_and_Symptoms_dataset.csv,10
9,panic disorder,Diseases_and_Symptoms_dataset.csv,11
10,panic disorder,Diseases_and_Symptoms_dataset.csv,12
11,panic disorder,Diseases_and_Symptoms_dataset.csv,13
12,panic disorder,Diseases_and_Symptoms_dataset.csv,14
13,panic disorder,Diseases_and_Symptoms_dataset.csv,15
14,panic disorder,Diseases_and_Symptoms_dataset.csv,16
15,panic disorder,Diseases_and_Symptoms_dataset.csv,17
16,panic disorder,Diseases_and_Symptoms_dataset.csv,18
17,panic disorder,Diseases_and_Symptoms_dataset.csv,19
18,panic disorder,Diseases_and_Symptoms_dataset.csv,20
19,panic disorder,Diseases_and_Symptoms_dataset.csv,21
20,panic disorder,Diseases_and_Symptoms_dataset.csv,22
21,panic disorder,Diseases_and_Symptoms_dataset.csv,23
22,panic disorder,Diseases_and_Symptoms_dataset.csv,24
23,panic disorder,Diseases_and_Symptoms_dataset.csv,25
24,panic disorder,Diseases_and_Symptoms_dataset.csv,26
25,panic disorder,Diseases_and_Symptoms_dataset.csv,27
26,panic disorder,Diseases_and_Symptoms_dataset.csv,28
27,panic disorder,Diseases_and_Symptoms_dataset.csv,29
28,panic disorder,Diseases_and_Symptoms_dataset.csv,30
29,panic disorder,Diseases_and_Symptoms_dataset.csv,31
30,panic disorder,Diseases_and_Symptoms_dataset.csv,32
31,panic disorder,Diseases_and_Symptoms_dataset.csv,33
32,panic disorder,Diseases_and_Symptoms_dataset.csv,34
33,panic disorder,Diseases_and_Symptoms_dataset.csv,35
34,panic disorder,Diseases_and_Symptoms_dataset.csv,36
35,panic disorder,Diseases_and_Symptoms_dataset.csv,37
