label,precision,recall,f1-score,support
actinic keratosis,0.8181818181818182,0.7777777777777778,0.7974683544303798,162.0
acute bronchiolitis,0.8805970149253731,0.917098445595855,0.8984771573604061,193.0
acute bronchitis,0.791907514450867,0.7061855670103093,0.7465940054495913,194.0
acute bronchospasm,0.593103448275862,0.7288135593220338,0.6539923954372624,118.0
acute kidney injury,0.9401197604790419,0.9691358024691358,0.9544072948328267,162.0
acute pancreatitis,0.922077922077922,0.8838174273858921,0.902542372881356,241.0
acute sinusitis,0.7989949748743719,0.9578313253012049,0.8712328767123287,166.0
allergy,0.9691358024691358,0.9751552795031055,0.9721362229102167,161.0
angina,0.9631901840490797,0.9515151515151515,0.9573170731707317,165.0
anxiety,0.9953917050691244,0.9037656903765691,0.9473684210526315,239.0
appendicitis,0.8186813186813187,0.9197530864197531,0.8662790697674418,162.0
arthritis of the hip,0.9411764705882353,0.9917355371900827,0.96579476861167,242.0
asthma,0.6120218579234973,0.9256198347107438,0.7368421052631579,121.0
benign prostatic hyperplasia (bph),0.9917695473251029,1.0,0.9958677685950413,241.0
brachial neuritis,0.8941176470588236,0.9212121212121213,0.9074626865671642,165.0
bursitis,0.9876543209876543,0.9917355371900827,0.9896907216494846,242.0
carpal tunnel syndrome,0.9248554913294798,0.975609756097561,0.9495548961424333,164.0
cholecystitis,0.8894230769230769,0.7676348547717843,0.8240534521158129,241.0
chronic back pain,0.9080459770114943,0.9813664596273292,0.9432835820895522,161.0
chronic constipation,0.9235294117647059,0.9515151515151515,0.9373134328358209,165.0
chronic obstructive pulmonary disease (copd),0.7272727272727273,0.5432098765432098,0.6219081272084805,162.0
common cold,0.89171974522293,0.8641975308641975,0.877742946708464,162.0
complex regional pain syndrome,0.9417040358744395,0.8641975308641975,0.9012875536480687,243.0
concussion,0.967479674796748,1.0,0.9834710743801653,238.0
conjunctivitis,0.9147727272727273,0.9757575757575757,0.9442815249266863,165.0
conjunctivitis due to allergy,0.9655172413793104,0.9218106995884774,0.9431578947368421,243.0
contact dermatitis,0.7807486631016043,0.8848484848484849,0.8295454545454546,165.0
cornea infection,0.9,0.9386503067484663,0.918918918918919,163.0
croup,0.875,0.8260869565217391,0.8498402555910544,161.0
cystitis,0.9617486338797814,0.7213114754098361,0.8243559718969555,244.0
degenerative disc disease,0.6830601092896175,0.7716049382716049,0.7246376811594203,162.0
dental caries,1.0,0.9704641350210971,0.9850107066381156,237.0
depression,0.8502994011976048,0.8554216867469879,0.8528528528528528,166.0
developmental disability,0.9705882352941176,1.0,0.9850746268656716,165.0
diaper rash,0.9698795180722891,0.9938271604938271,0.9817073170731707,162.0
diverticulitis,0.8893805309734514,0.8271604938271605,0.8571428571428571,243.0
drug reaction,0.9754601226993865,0.9814814814814815,0.9784615384615385,162.0
ear drum damage,0.9467455621301775,0.975609756097561,0.960960960960961,164.0
eczema,0.9567567567567568,0.7344398340248963,0.8309859154929577,241.0
esophagitis,0.9737991266375546,0.9176954732510288,0.9449152542372882,243.0
eustachian tube dysfunction (ear disorder),0.9580838323353293,0.9876543209876543,0.9726443768996961,162.0
fungal infection of the hair,0.8809523809523809,0.7644628099173554,0.8185840707964602,242.0
gallstone,0.7283236994219653,0.7730061349693251,0.75,163.0
gastrointestinal hemorrhage,0.9786324786324786,0.9462809917355371,0.9621848739495799,242.0
gout,0.9754098360655737,0.9834710743801653,0.9794238683127572,242.0
gum disease,0.935672514619883,1.0,0.9667673716012085,160.0
heart attack,0.9573170731707317,0.9691358024691358,0.9631901840490797,162.0
heart failure,0.9652173913043478,0.940677966101695,0.9527896995708155,118.0
hemorrhoids,0.8602150537634409,0.9815950920245399,0.9169054441260746,163.0
herniated disk,0.6863636363636364,0.9151515151515152,0.7844155844155845,165.0
hiatal hernia,0.8722222222222222,0.9631901840490797,0.9154518950437318,163.0
hyperemesis gravidarum,0.9349112426035503,0.9693251533742331,0.9518072289156626,163.0
hypertensive heart disease,0.9354838709677419,0.9830508474576272,0.9586776859504132,118.0
hypoglycemia,0.9918032786885246,0.9958847736625515,0.9938398357289527,243.0
idiopathic excessive menstruation,0.8041237113402062,0.9397590361445783,0.8666666666666667,166.0
