disease,precision,recall,f1,support
chronic obstructive pulmonary disease (copd),0.7024793388429752,0.5246913580246914,0.6007067137809188,162.0
personality disorder,0.6075949367088608,0.588957055214724,0.5981308411214953,163.0
skin pigmentation disorder,0.6226415094339622,0.6149068322981367,0.61875,161.0
noninfectious gastroenteritis,0.7647058823529411,0.6473029045643154,0.701123595505618,241.0
skin polyp,0.5544041450777202,0.6645962732919255,0.6045197740112994,161.0
acute bronchospasm,0.6439393939393939,0.7203389830508474,0.68,118.0
pneumonia,0.92,0.7225130890052356,0.8093841642228738,191.0
acute bronchitis,0.7135678391959799,0.7319587628865979,0.72264631043257,194.0
gallstone,0.75,0.7361963190184049,0.7430340557275542,163.0
cystitis,0.9326424870466321,0.7377049180327869,0.8237986270022883,244.0
infectious gastroenteritis,0.7027027027027027,0.7520661157024794,0.7265469061876247,242.0
spontaneous abortion,0.8767772511848341,0.7644628099173554,0.8167770419426048,242.0
fungal infection of the hair,0.8942307692307693,0.768595041322314,0.8266666666666667,242.0
actinic keratosis,0.8503401360544217,0.7716049382716049,0.8090614886731392,162.0
eczema,0.8611111111111112,0.7717842323651453,0.8140043763676149,241.0
marijuana abuse,0.8617511520737328,0.7727272727272727,0.8148148148148148,242.0
spinal stenosis,0.8995215311004785,0.7800829875518672,0.8355555555555556,241.0
degenerative disc disease,0.6479591836734694,0.7839506172839507,0.7094972067039106,162.0
cholecystitis,0.883177570093458,0.7842323651452282,0.8307692307692308,241.0
spondylosis,0.8761467889908257,0.7860082304526749,0.8286334056399133,243.0
vaginal cyst,0.8290598290598291,0.7983539094650206,0.8134171907756813,243.0
schizophrenia,0.7058823529411765,0.8098159509202454,0.7542857142857143,163.0
diverticulitis,0.8771929824561403,0.823045267489712,0.8492569002123143,243.0
croup,0.864516129032258,0.8322981366459627,0.8481012658227848,161.0
nose disorder,0.9622641509433962,0.8360655737704918,0.8947368421052632,244.0
psoriasis,0.7225130890052356,0.8363636363636363,0.7752808988764045,165.0
common cold,0.8607594936708861,0.8395061728395061,0.85,162.0
herniated disk,0.7239583333333334,0.8424242424242424,0.7787114845938375,165.0
contact dermatitis,0.813953488372093,0.8484848484848485,0.8308605341246291,165.0
complex regional pain syndrome,0.95,0.8600823045267489,0.9028077753779697,243.0
idiopathic painful menstruation,0.9205298013245033,0.8633540372670807,0.8910256410256411,161.0
depression,0.8421052631578947,0.8674698795180723,0.8545994065281899,166.0
vulvodynia,0.9861111111111112,0.8729508196721312,0.9260869565217391,244.0
asthma,0.654320987654321,0.8760330578512396,0.7491166077738516,121.0
rectal disorder,0.9407894736842105,0.8827160493827161,0.910828025477707,162.0
idiopathic irregular menstrual cycle,0.9056603773584906,0.8834355828220859,0.8944099378881988,163.0
anxiety,0.9907834101382489,0.899581589958159,0.9429824561403509,239.0
otitis media,0.9119496855345912,0.9006211180124224,0.90625,161.0
appendicitis,0.8342857142857143,0.9012345679012346,0.8664688427299704,162.0
threatened pregnancy,0.7551020408163265,0.9024390243902439,0.8222222222222222,164.0
brachial neuritis,0.9030303030303031,0.9030303030303031,0.9030303030303031,165.0
acute pancreatitis,0.8934426229508197,0.9045643153526971,0.8989690721649485,241.0
pain after an operation,0.9733333333333334,0.906832298136646,0.9389067524115756,161.0
sprain or strain,0.9649122807017544,0.9090909090909091,0.9361702127659575,242.0
acute bronchiolitis,0.8592233009708737,0.917098445595855,0.8872180451127819,193.0
conjunctivitis due to allergy,0.9695652173913043,0.9176954732510288,0.9429175475687104,243.0
temporary or benign blood in urine,0.7028301886792453,0.9254658385093167,0.7989276139410187,161.0
esophagitis,0.974025974025974,0.9259259259259259,0.9493670886075949,243.0
urinary tract infection,0.9263803680981595,0.9263803680981595,0.9263803680981595,163.0
peripheral nerve disorder,0.9495798319327731,0.9300411522633745,0.9397089397089398,243.0
heart failure,0.9482758620689655,0.9322033898305084,0.9401709401709402,118.0
cornea infection,0.8994082840236687,0.9325153374233128,0.9156626506024096,163.0
problem during pregnancy,0.9053254437869822,0.9329268292682927,0.918918918918919,164.0
acute sinusitis,0.7788944723618091,0.9337349397590361,0.8493150684931506,166.0
sepsis,0.9385964912280702,0.9385964912280702,0.9385964912280702,114.0
angina,0.9810126582278481,0.9393939393939394,0.9597523219814241,165.0
strep throat,0.9421487603305785,0.9421487603305785,0.9421487603305785,242.0
pelvic inflammatory disease,0.8888888888888888,0.95,0.918429003021148,160.0
gastrointestinal hemorrhage,0.9704641350210971,0.9504132231404959,0.9603340292275574,242.0
chronic constipation,0.9289940828402367,0.9515151515151515,0.9401197604790419,165.0
idiopathic excessive menstruation,0.8020304568527918,0.9518072289156626,0.8705234159779615,166.0
otitis externa (swimmer's ear),0.9627329192546584,0.9567901234567902,0.9597523219814241,162.0
seasonal allergies (hay fever),0.968944099378882,0.9570552147239264,0.9629629629629629,163.0
sinus bradycardia,0.9573170731707317,0.9631901840490797,0.9602446483180428,163.0
hyperemesis gravidarum,0.9457831325301205,0.9631901840490797,0.9544072948328267,163.0
hemorrhoids,0.8770949720670391,0.9631901840490797,0.9181286549707602,163.0
hypertensive heart disease,0.9344262295081968,0.9661016949152542,0.95,118.0
dental caries,0.9913419913419913,0.9662447257383966,0.9786324786324786,237.0
sickle cell crisis,0.9235294117647059,0.9691358024691358,0.9457831325301205,162.0
acute kidney injury,0.9691358024691358,0.9691358024691358,0.9691358024691358,162.0
stye,0.9759036144578314,0.9700598802395209,0.972972972972973,167.0
allergy,0.9691358024691358,0.9751552795031055,0.9721362229102167,161.0
heart attack,0.9461077844311377,0.9753086419753086,0.9604863221884499,162.0
drug reaction,0.9813664596273292,0.9753086419753086,0.978328173374613,162.0
hiatal hernia,0.8548387096774194,0.9754601226993865,0.9111747851002865,163.0
sebaceous cyst,0.92,0.9757575757575757,0.9470588235294117,165.0
conjunctivitis,0.9252873563218391,0.9757575757575757,0.9498525073746312,165.0
liver disease,0.9752066115702479,0.979253112033195,0.9772256728778468,241.0
arthritis of the hip,0.9673469387755103,0.9793388429752066,0.973305954825462,242.0
gout,0.9753086419753086,0.9793388429752066,0.977319587628866,242.0
chronic back pain,0.9186046511627907,0.9813664596273292,0.948948948948949,161.0
panic disorder,0.8932584269662921,0.9814814814814815,0.9352941176470588,162.0
vaginitis,0.9257142857142857,0.9818181818181818,0.9529411764705882,165.0
injury to the leg,0.9834710743801653,0.9834710743801653,0.9834710743801653,242.0
injury to the arm,0.9754098360655737,0.9834710743801653,0.9794238683127572,242.0
bursitis,0.9916666666666667,0.9834710743801653,0.9875518672199171,242.0
gum disease,0.9349112426035503,0.9875,0.9604863221884499,160.0
eustachian tube dysfunction (ear disorder),0.975609756097561,0.9876543209876543,0.9815950920245399,162.0
diaper rash,0.963855421686747,0.9876543209876543,0.975609756097561,162.0
carpal tunnel syndrome,0.9257142857142857,0.9878048780487805,0.9557522123893806,164.0
ear drum damage,0.9418604651162791,0.9878048780487805,0.9642857142857143,164.0
multiple sclerosis,0.9644970414201184,0.9878787878787879,0.9760479041916168,165.0
